Restaurant ID,Restaurant Name,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes
18371415,A Piece of Paris,Gurgaon,"Unitech Infospace, Sector 21, Gurgaon",77.0716878,28.510247,"Desserts, Bakery",600,No,Yes,2,3.9,43
18371426,Vadapav Junction,New Delhi,East of Kailash,77.254524,28.560028,Maharashtrian,350,No,Yes,1,3.2,14
18371428,They�_����,Noida,Sector 110,77.38501411,28.52840456,"North Indian, Mughlai, Chinese",800,No,Yes,2,3.4,13
18371433,Nawabi Mughlai Zaika,Noida,Sector 18,77.325204,28.57099,"North Indian, Mughlai",600,No,Yes,2,3.3,19
18371434,Burger King,Noida,"Logix City Centre, Sector 32, Noida",77.3536634,28.5743086,"Burger, Fast Food",500,No,Yes,2,3.3,14
18371438,Thai House by Kylin,New Delhi,Greater Kailash (GK) 1,77.2334203,28.5568711,Thai,1800,Yes,Yes,3,3.8,54
18372279,Midnight Delight,New Delhi,Sarita Vihar,77.2884321,28.5293671,"North Indian, Chinese",400,No,Yes,1,2.4,8
18372287,Pudding & Pie,New Delhi,Paschim Vihar,77.0923449,28.6651734,"Bakery, Desserts, Fast Food",450,No,No,1,2.7,16
18372294,Green Chick Chop,New Delhi,Preet Vihar,77.2956527,28.6427539,"Raw Meats, North Indian, Fast Food",350,No,No,1,3,4
18372311,ZASTY,Gurgaon,DLF Phase 3,77.094031,28.492698,"Continental, North Indian, Asian",500,No,Yes,2,3.5,52
18372397,The Oven Artist,Gurgaon,Old Railway Road,77.0157175,28.4652054,Bakery,800,No,No,2,3.5,25
18372578,RSVP,New Delhi,Janpath,77.2170731,28.6212756,Finger Food,3000,No,No,4,2.7,16
18372661,Gayatri's Break Point Restaurant,New Delhi,Uttam Nagar,77.0621578,28.6200658,"North Indian, South Indian, Chinese, Fast Food",300,No,No,1,3.1,4
18372667,Bhatura King,New Delhi,Tilak Nagar,77.0954179,28.636751,Street Food,150,No,No,1,2.9,7
18372668,Tandoori KnockOuts,Gurgaon,"Supermart 1, DLF Phase 4",77.0871592,28.4626087,"Fast Food, North Indian",500,No,Yes,2,4.2,112
18372669,Last Bencher's,New Delhi,Tagore Garden,77.1125497,28.6498944,Chinese,300,No,No,1,3,6
18372686,FreshMenu,New Delhi,Kalkaji,77.257216,28.530672,"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",600,No,Yes,2,3.6,36
18372688,DIOS The Neighbourhood Bistro,Noida,Sector 132,77.3778856,28.5138115,"Continental, Fast Food, Italian",1300,Yes,No,3,4.2,108
18372695,United Coffee House Rewind,Noida,"DLF Mall of India, Sector 18,  Noida",77.3214491,28.5675927,"North Indian, European, Asian, Mediterranean",1500,Yes,No,3,3.4,215
18372696,Mauryan Multi Cuisine Restaurant,New Delhi,Laxmi Nagar,77.2825534,28.6413024,"North Indian, Chinese",900,No,Yes,2,3.4,31
18372705,Pirates of Campus,New Delhi,Satyaniketan,77.1672543,28.5877069,"Cafe, North Indian, Continental, Italian",700,No,Yes,2,3.7,43
18373071,Jugmug Thela,New Delhi,Saket,77.199805,28.517316,Beverages,200,No,No,1,3.8,25
18373691,Dogs & Wiches,New Delhi,Chittaranjan Park,77.2530626,28.53681321,"Continental, American, Fast Food",600,No,Yes,2,3.9,109
18373737,Get Set Go,Noida,"MSX Mall, Greater Noida",77.5282389,28.4580767,"North Indian, Chinese, Continental",800,No,No,2,3.1,5
18374686,Riders Hub,Gurgaon,Udyog Vihar,77.0879685,28.4991724,"Chinese, Continental, North Indian",800,Yes,No,2,3.1,11
18374707,Man Vs Food The Kitchen,New Delhi,Defence Colony,77.238347,28.576813,"North Indian, Mughlai",600,No,Yes,2,3.1,9
18375379,Hawalat Lounge & Bar,New Delhi,Punjabi Bagh,77.1224178,28.6665862,"North Indian, Continental, Italian",1000,Yes,No,3,4,126
18375382,Invitation Foodex,New Delhi,Rajouri Garden,77.12024923,28.63860359,"North Indian, Chinese, Mughlai",600,No,Yes,2,3.2,7
18375391,Gelato Vinto,New Delhi,"Epicuria Food Mall, Nehru Place",77.2517407,28.5514411,Ice Cream,250,No,Yes,1,3.3,9
